"","loan_amount","emp_length","home_ownership","income","loan_purpose","debt_to_income","credit_score","recent_inquiry","delinquent","credit_accounts","bad_public_record","credit_utilization","past_bankrupt","outcome"
"25155","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","YES","HIGH","YES","default"
"25156","MEDIUM","< 2 years","RENT","MEDIUM","credit_card","LOW","LOW","NO","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","default"
"25157","MEDIUM","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"25158","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","LOW","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"25160","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","home_improvement","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25162","MEDIUM","2 - 5 years","OWN","MEDIUM","wedding","LOW","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","repaid"
"25166","HIGH","2 - 5 years","MORTGAGE","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25170","LOW","2 - 5 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"25172","LOW","2 - 5 years","OWN","LOW","home_improvement","AVERAGE","AVERAGE","YES","NEVER","MANY","YES","MEDIUM","YES","default"
"25176","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","HIGH","YES","NEVER","FEW","NO","LOW","NO","repaid"
"25180","LOW","2 - 5 years","MORTGAGE","MEDIUM","moving","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"25181","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","MANY","YES","MEDIUM","YES","repaid"
"25182","MEDIUM","6 - 9 years","MORTGAGE","HIGH","major_purchase","HIGH","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25188","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"25189","MEDIUM","10+ years","MORTGAGE","LOW","home_improvement","AVERAGE","AVERAGE","NO","NEVER","MANY","YES","MEDIUM","YES","repaid"
"25190","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"25197","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","AVERAGE","YES","MEDIUM","YES","default"
"25199","MEDIUM","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","default"
"25203","HIGH","6 - 9 years","MORTGAGE","HIGH","small_business","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"25205","MEDIUM","6 - 9 years","RENT","LOW","major_purchase","LOW","HIGH","NO","NEVER","MANY","NO","LOW","NO","repaid"
"25211","MEDIUM","unemployed","OWN","LOW","debt_consolidation","AVERAGE","HIGH","NO","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","default"
"25213","MEDIUM","2 - 5 years","RENT","MEDIUM","other","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25215","MEDIUM","2 - 5 years","OWN","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25221","MEDIUM","10+ years","RENT","HIGH","house","LOW","LOW","YES","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","default"
"25226","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","LOW","NO","default"
"25227","LOW","< 2 years","RENT","LOW","major_purchase","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25231","MEDIUM","< 2 years","RENT","LOW","major_purchase","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","YES","MEDIUM","YES","default"
"25234","HIGH","6 - 9 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25238","MEDIUM","2 - 5 years","MORTGAGE","HIGH","major_purchase","LOW","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","repaid"
"25240","MEDIUM","10+ years","OWN","MEDIUM","debt_consolidation","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25241","MEDIUM","< 2 years","RENT","LOW","major_purchase","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","FEW","NO","LOW","NO","repaid"
"25245","MEDIUM","unemployed","RENT","MEDIUM","credit_card","HIGH","AVERAGE","NO","NEVER","MANY","NO","HIGH","NO","repaid"
"25247","HIGH","10+ years","MORTGAGE","HIGH","credit_card","AVERAGE","HIGH","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25252","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","LOW","NO","repaid"
"25253","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25278","HIGH","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","default"
"25279","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"25281","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","LOW","AVERAGE","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","repaid"
"25282","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25287","MEDIUM","10+ years","OWN","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","FEW","YES","HIGH","YES","default"
"25289","MEDIUM","6 - 9 years","RENT","LOW","credit_card","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"25292","HIGH","10+ years","OWN","MEDIUM","moving","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","LOW","NO","repaid"
"25295","LOW","6 - 9 years","RENT","MEDIUM","major_purchase","LOW","AVERAGE","YES","IN PAST 2 YEARS","AVERAGE","NO","LOW","NO","repaid"
"25296","HIGH","6 - 9 years","MORTGAGE","MEDIUM","credit_card","LOW","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25297","LOW","10+ years","MORTGAGE","HIGH","other","LOW","HIGH","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25301","HIGH","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","LOW","HIGH","YES","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","repaid"
"25303","LOW","6 - 9 years","MORTGAGE","HIGH","moving","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"25305","MEDIUM","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"25309","HIGH","10+ years","MORTGAGE","MEDIUM","medical","AVERAGE","HIGH","NO","NEVER","MANY","NO","LOW","NO","repaid"
"25315","LOW","6 - 9 years","OWN","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","LOW","NO","default"
"25322","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","major_purchase","LOW","HIGH","NO","NEVER","FEW","NO","LOW","NO","repaid"
"25325","MEDIUM","2 - 5 years","RENT","MEDIUM","other","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25329","MEDIUM","10+ years","MORTGAGE","HIGH","small_business","LOW","HIGH","YES","NEVER","AVERAGE","YES","LOW","NO","default"
"25330","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","YES","MEDIUM","NO","default"
"25331","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25337","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"25338","MEDIUM","10+ years","OWN","MEDIUM","small_business","HIGH","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25340","LOW","6 - 9 years","RENT","HIGH","other","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"25341","LOW","2 - 5 years","MORTGAGE","HIGH","major_purchase","HIGH","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","LOW","NO","repaid"
"25342","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25346","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","repaid"
"25347","MEDIUM","2 - 5 years","RENT","LOW","moving","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","AVERAGE","NO","LOW","NO","default"
"25351","LOW","10+ years","MORTGAGE","MEDIUM","home_improvement","AVERAGE","HIGH","YES","MORE THAN 2 YEARS AGO","MANY","NO","LOW","NO","default"
"25355","HIGH","< 2 years","RENT","MEDIUM","credit_card","AVERAGE","LOW","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"25361","LOW","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","HIGH","NO","default"
"25365","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","YES","MEDIUM","YES","repaid"
"25366","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"25371","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","LOW","LOW","YES","IN PAST 2 YEARS","FEW","NO","LOW","NO","default"
"25373","HIGH","6 - 9 years","MORTGAGE","HIGH","credit_card","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25380","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25382","MEDIUM","< 2 years","RENT","LOW","educational","HIGH","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"25383","MEDIUM","10+ years","OWN","MEDIUM","home_improvement","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25384","HIGH","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","LOW","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25388","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25390","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","LOW","NO","default"
"25393","LOW","2 - 5 years","RENT","MEDIUM","major_purchase","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"25396","LOW","2 - 5 years","RENT","HIGH","medical","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","YES","LOW","YES","default"
"25398","LOW","unemployed","OWN","LOW","major_purchase","LOW","HIGH","NO","NEVER","FEW","NO","LOW","NO","repaid"
"25399","MEDIUM","10+ years","MORTGAGE","MEDIUM","home_improvement","LOW","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","LOW","NO","default"
"25402","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"25403","LOW","2 - 5 years","OWN","LOW","other","LOW","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25405","MEDIUM","10+ years","MORTGAGE","MEDIUM","renewable_energy","AVERAGE","HIGH","YES","NEVER","FEW","NO","HIGH","NO","default"
"25412","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","default"
"25415","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25418","LOW","10+ years","OWN","MEDIUM","home_improvement","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"25419","MEDIUM","2 - 5 years","RENT","MEDIUM","wedding","LOW","LOW","YES","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","repaid"
"25420","HIGH","< 2 years","RENT","MEDIUM","wedding","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25421","HIGH","10+ years","MORTGAGE","HIGH","small_business","AVERAGE","LOW","NO","IN PAST 2 YEARS","AVERAGE","NO","HIGH","NO","default"
"25423","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"25425","LOW","< 2 years","RENT","LOW","small_business","HIGH","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"25428","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25431","LOW","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","LOW","AVERAGE","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","repaid"
"25432","LOW","10+ years","MORTGAGE","MEDIUM","home_improvement","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"25433","MEDIUM","10+ years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","LOW","NO","default"
"25437","LOW","10+ years","MORTGAGE","MEDIUM","medical","AVERAGE","LOW","YES","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","repaid"
"25438","MEDIUM","< 2 years","RENT","LOW","wedding","AVERAGE","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25440","MEDIUM","< 2 years","MORTGAGE","MEDIUM","small_business","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","LOW","NO","default"
"25449","LOW","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","IN PAST 2 YEARS","FEW","NO","MEDIUM","NO","default"
"25450","MEDIUM","6 - 9 years","RENT","HIGH","other","LOW","LOW","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25451","HIGH","< 2 years","RENT","HIGH","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25453","MEDIUM","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","YES","HIGH","YES","default"
"25454","HIGH","2 - 5 years","MORTGAGE","MEDIUM","major_purchase","LOW","HIGH","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"25456","LOW","< 2 years","RENT","LOW","debt_consolidation","HIGH","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25461","MEDIUM","6 - 9 years","MORTGAGE","LOW","debt_consolidation","LOW","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","repaid"
"25462","LOW","2 - 5 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"25465","LOW","2 - 5 years","RENT","LOW","moving","LOW","HIGH","YES","NEVER","FEW","NO","LOW","NO","default"
"25466","HIGH","10+ years","MORTGAGE","HIGH","house","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","default"
"25468","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","LOW","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"25469","MEDIUM","< 2 years","RENT","LOW","educational","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"25473","LOW","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"25477","HIGH","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25479","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"25483","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25488","MEDIUM","2 - 5 years","MORTGAGE","LOW","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","LOW","NO","repaid"
"25491","HIGH","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","LOW","NO","repaid"
"25494","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25495","HIGH","< 2 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","HIGH","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25496","MEDIUM","< 2 years","RENT","LOW","home_improvement","LOW","LOW","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","default"
"25497","MEDIUM","10+ years","MORTGAGE","HIGH","home_improvement","LOW","HIGH","YES","NEVER","MANY","NO","LOW","NO","repaid"
"25501","LOW","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"25512","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25517","HIGH","< 2 years","RENT","HIGH","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25522","HIGH","6 - 9 years","MORTGAGE","HIGH","major_purchase","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","default"
"25523","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25524","HIGH","6 - 9 years","RENT","MEDIUM","small_business","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"25529","MEDIUM","10+ years","MORTGAGE","MEDIUM","small_business","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25530","MEDIUM","10+ years","MORTGAGE","HIGH","car","AVERAGE","HIGH","YES","NEVER","MANY","NO","LOW","NO","repaid"
"25532","LOW","unemployed","MORTGAGE","MEDIUM","small_business","LOW","HIGH","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"25535","MEDIUM","unemployed","MORTGAGE","LOW","car","AVERAGE","HIGH","YES","NEVER","AVERAGE","NO","LOW","NO","default"
"25541","LOW","unemployed","RENT","LOW","other","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"25542","HIGH","10+ years","RENT","HIGH","renewable_energy","HIGH","LOW","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"25544","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","HIGH","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"25548","LOW","< 2 years","MORTGAGE","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25552","LOW","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","LOW","NO","repaid"
"25556","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","HIGH","NO","default"
"25557","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"25562","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","LOW","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25563","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","other","LOW","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25569","MEDIUM","2 - 5 years","RENT","HIGH","medical","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"25573","LOW","< 2 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25574","HIGH","6 - 9 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","default"
"25577","MEDIUM","2 - 5 years","RENT","HIGH","debt_consolidation","AVERAGE","LOW","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"25581","HIGH","10+ years","OWN","HIGH","debt_consolidation","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","HIGH","NO","default"
"25583","HIGH","2 - 5 years","MORTGAGE","HIGH","small_business","HIGH","LOW","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25589","LOW","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","repaid"
"25592","MEDIUM","2 - 5 years","RENT","LOW","credit_card","HIGH","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25594","HIGH","2 - 5 years","OWN","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25601","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","home_improvement","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","LOW","NO","repaid"
"25605","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"25612","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"25619","MEDIUM","2 - 5 years","MORTGAGE","HIGH","major_purchase","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25623","MEDIUM","< 2 years","RENT","LOW","small_business","LOW","HIGH","NO","NEVER","FEW","NO","LOW","NO","default"
"25627","LOW","2 - 5 years","RENT","LOW","moving","AVERAGE","HIGH","NO","NEVER","FEW","NO","HIGH","NO","default"
"25629","MEDIUM","2 - 5 years","RENT","HIGH","other","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"25631","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"25637","LOW","2 - 5 years","RENT","LOW","other","HIGH","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","repaid"
"25640","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","major_purchase","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","repaid"
"25641","LOW","unemployed","RENT","LOW","moving","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25648","HIGH","< 2 years","MORTGAGE","MEDIUM","major_purchase","LOW","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","LOW","NO","default"
"25649","HIGH","10+ years","RENT","MEDIUM","house","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","default"
"25650","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"25653","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","LOW","NO","default"
"25655","LOW","6 - 9 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"25658","HIGH","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","default"
"25659","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","HIGH","HIGH","NO","NEVER","FEW","NO","MEDIUM","NO","repaid"
"25660","HIGH","< 2 years","RENT","MEDIUM","major_purchase","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"25666","LOW","unemployed","MORTGAGE","HIGH","home_improvement","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"25669","MEDIUM","6 - 9 years","RENT","HIGH","other","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"25673","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"25674","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","YES","MEDIUM","NO","repaid"
"25678","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25680","LOW","< 2 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"25682","MEDIUM","< 2 years","RENT","LOW","major_purchase","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"25684","MEDIUM","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
